Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8081312410841655,0.6711409395973155,0.5390835579514824,0.5979073243647235,0.7220151058428605
Decision Tree,0.717546362339515,0.4657534246575342,0.4582210242587601,0.46195652173913043,0.634542131915995
Random Forest,0.7860199714693296,0.628158844765343,0.46900269541778977,0.5370370370370371,0.6845498443141325
